TOWN,wanted,POINT_X,POINT_Y,NOFBI_Stru
Lugare,0,34.01491360500,0.08939897056,
Port Victoria,0,33.99797270690,0.16231406576,
Sio Port,0,34.02851660210,0.23668446125,
Karungu,0,34.16272140200,-0.83278413997,
Got Kachola,0,34.14042845170,-0.93937732186,
Magunga,0,34.15667119940,-0.68308942043,
Sindo,0,34.17133918060,-0.52949132957,
Busonga,0,34.09108733830,0.12106073897,
Muhuru,0,34.10488198520,-1.00763911613,
Macalder Mines,0,34.29753562160,-0.96211500299,
Aora,0,34.23875615630,-0.78540000766,
Wath Ong'er,0,34.21257989210,-0.94123176587,
Mbita,0,34.20551633480,-0.40247910861,
Luanda,0,34.29129053900,-0.46413241298,
Luanda Kotieno,0,34.30023521490,-0.37696248280,
Ndingwa,0,34.32837249540,-0.32174885134,
Manywanda,0,34.27951619280,-0.23808332082,
Owimbi,0,34.32647417710,-0.21814285142,
Bondo,0,34.27414579580,-0.08540144669,
Siaya,0,34.29487784410,0.07074841947,County Headquaters
Ambira,0,34.33015019550,0.16693597542,
Masara,0,34.31224027860,-1.01683840294,
Kadem,0,34.21690094840,-1.00684196263,
Ukwala,0,34.19302533140,0.20850968497,
Nangina,0,34.09823393170,0.28845096656,
Matayos,0,34.16800958600,0.37237168596,
Busia,0,34.10483643220,0.46839013379,County Headquaters
Mbwekas,0,34.14720063580,0.45438578304,
Ambila,0,34.29392502030,0.19390573592,
Bumala,0,34.20826482960,0.31762724899,
Butula,0,34.33788065700,0.35348473062,
Sega,0,34.23213702990,0.26439712495,
Khawirale,0,34.22275319450,0.49636862540,
Nambale,0,34.25085642110,0.46006177296,
Mungatsi,0,34.31670474370,0.48507460424,
Machakusi,0,34.23840981860,0.61785868151,
Amukura,0,34.27631948210,0.58325598335,
Malaba,0,34.27891167750,0.64862929632,TLK (OFC Terminals)
Rapogi,0,34.47811353420,-0.89845360893,
Kagaga,0,34.41021840270,-0.81662733199,
Ndhiwa,0,34.37375696060,-0.72132538554,
Mirogi,0,34.40388559630,-0.69866627020,
Lambwe,0,34.37545201470,-0.56266029818,
Ogongo,0,34.39844816880,-0.57866975474,
Kabuadi,0,34.47942081880,-0.56919433983,
Homa Bay,0,34.46228764110,-0.51342902500,County Headquaters
Ndori,0,34.38087932110,-0.05917903805,
Asembo,0,34.39181651480,-0.16958004492,
Akala,0,34.43743921850,-0.04868765783,
Kagilo,0,34.44005369480,0.06806525233,
Ng'iya,0,34.37300766500,0.05882364251,
Kodiaga,0,34.45926003200,0.12433900706,
Sidindi,0,34.38360466780,0.17007240457,
Migori,0,34.46297586390,-1.05919980222,County Headquaters
Icebania,0,34.46820072370,-1.23155429626,
Awendo,0,34.53688037610,-0.89444667105,
Ranen,0,34.56676192870,-0.84514405026,
Nyangweta,0,34.64107679550,-0.83811972328,
Rongo,0,34.60459475650,-0.74350079114,
Kamagambo,0,34.62802476950,-0.72185392215,
Rodi Kopany,0,34.50426713740,-0.61021379329,
Imbo,0,34.53723916450,-0.58452317380,
Rangwe,0,34.58517717980,-0.58737383683,
Olare,0,34.53167312520,-0.48777503494,
Kandiege,0,34.55014469720,-0.41391317510,
Wagwe,0,34.56348085690,-0.34397832382,
Oriang,0,34.63037656680,-0.38040312155,
Kombewa,0,34.51359082930,-0.08232592894,
Maseno,0,34.60190554570,0.00092671455,
Luanda,0,34.58345314470,0.04563891846,
Yala,0,34.53487416360,0.10715257034,
Yani,0,34.57075797320,-1.03189749756,
Kehancha,0,34.61475159960,-1.16320193375,
Taranganya,0,34.58618652260,-1.22997368939,
Buhuyi,0,34.40807413390,0.38016944498,
Myanga,0,34.39241567760,0.57827296966,
Mayanja,0,34.43110604440,0.68465152892,
Omudeke,0,34.36165881650,0.70485745355,
Kakameri,0,34.39090779920,0.75945214760,
Wamono,0,34.43806328600,0.80392667529,
Chelebei,0,34.55916563220,0.82195757466,
Sirisia,0,34.51609958730,0.78037568848,
Chwele,0,34.57415411360,0.74660660206,
Kuywa,0,34.63996636680,0.76071885523,
Sikusi,0,34.55356630340,0.70599070721,
Mayanja,0,34.51428835560,0.66069889369,
Kibabii,0,34.52356148030,0.63234892055,
Bungoma,0,34.55340260550,0.57052329304,
Khachonge,0,34.62111247340,0.69617438989,
Bukura,0,34.61901019140,0.23375158928,
Lunza,0,34.54991518490,0.24801393998,
Khwishero,0,34.59703568620,0.18413237949,
Shianda,0,34.57071547120,0.33266558033,
Kabula,0,34.51537917210,0.46907269885,
Kisii,0,34.78293076010,-0.66498788867,County Headquaters
Itumbe,0,34.77925225340,-0.73986988088,
Ogembo,0,34.72847406040,-0.78489132137,
Oyugis,0,34.73071291470,-0.49686285145,
Kendu Bay,0,34.64917809080,-0.34699610789,
Mawego,0,34.77353410170,-0.38223499843,
Majengo,0,34.72266367890,0.06280071432,
Kiboswa,0,34.74435198640,-0.00506966273,
Kisumu,0,34.76987672560,-0.08112819797,County Headquaters
Chavakali,0,34.73247453570,0.13089640803,
Sabatia,0,34.78862952130,0.13521710436,
Nyamache,0,34.82881870300,-0.84614351430,
Nyangusu,0,34.85330337980,-0.91901716436,
Kiamokama,0,34.88986864620,-0.81338701045,
Kegati,0,34.81757900510,-0.68992633440,
Tombe,0,34.88011964910,-0.63859397275,
Igare,0,34.80852528840,-0.78793672098,
Magombo,0,34.92492319210,-0.66510669849,
Keumbu,0,34.85054900690,-0.71600716879,
Marani,0,34.80369306410,-0.57484610025,
Kusa,0,34.85424361250,-0.30135035488,
Paponditi,0,34.94086977080,-0.28804425567,
